timestamp,function,replicas,ready,pods_running,pods_pending
1775161818,stage-ffmpeg-0,2,2,2,0
1775161818,stage-ffmpeg-1,1,1,1,0
1775161818,stage-ffmpeg-2,1,1,1,0
1775161818,stage-ffmpeg-3,1,1,1,0
1775161818,stage-librosa,5,5,5,0
1775161818,stage-object-detector,1,1,1,0
1775161826,orchestrator,1,1,1,0
1775161826,stage-deepspeech,1,1,1,0
1775161826,stage-ffmpeg-0,2,2,2,0
1775161826,stage-ffmpeg-1,1,1,1,0
1775161826,stage-ffmpeg-2,1,1,1,0
1775161826,stage-ffmpeg-3,1,1,1,0
1775161826,stage-librosa,5,5,5,0
1775161826,stage-object-detector,1,1,1,0
1775161833,orchestrator,1,1,1,0
1775161833,stage-deepspeech,1,1,1,0
1775161833,stage-ffmpeg-0,2,2,2,0
1775161833,stage-ffmpeg-1,1,1,1,0
1775161833,stage-ffmpeg-2,1,1,1,0
1775161833,stage-ffmpeg-3,1,1,1,0
1775161833,stage-librosa,5,5,5,0
1775161833,stage-object-detector,1,1,1,0
1775161841,orchestrator,1,1,1,0
1775161841,stage-deepspeech,2,2,2,0
1775161841,stage-ffmpeg-0,3,3,3,0
1775161841,stage-ffmpeg-1,1,1,1,0
1775161841,stage-ffmpeg-2,3,3,3,0
1775161841,stage-ffmpeg-3,1,1,1,0
1775161841,stage-librosa,5,5,5,0
1775161841,stage-object-detector,4,4,4,0
1775161849,orchestrator,1,1,1,0
1775161849,stage-deepspeech,2,2,2,0
1775161849,stage-ffmpeg-0,3,3,3,0
1775161849,stage-ffmpeg-1,1,1,1,0
1775161849,stage-ffmpeg-2,3,3,3,0
1775161849,stage-ffmpeg-3,1,1,1,0
1775161849,stage-librosa,5,5,5,0
1775161849,stage-object-detector,4,4,4,0
1775161856,orchestrator,1,1,1,0
1775161856,stage-deepspeech,2,2,2,0
1775161856,stage-ffmpeg-0,3,3,3,0
1775161856,stage-ffmpeg-1,1,1,1,0
1775161856,stage-ffmpeg-2,3,3,3,0
1775161856,stage-ffmpeg-3,4,4,4,0
1775161856,stage-librosa,5,5,5,0
1775161856,stage-object-detector,5,5,5,0
1775161864,orchestrator,1,1,1,0
1775161864,stage-deepspeech,2,2,2,0
1775161864,stage-ffmpeg-0,3,3,3,0
1775161864,stage-ffmpeg-1,1,1,1,0
1775161864,stage-ffmpeg-2,3,3,3,0
1775161864,stage-ffmpeg-3,4,4,4,0
1775161864,stage-librosa,5,5,5,0
1775161864,stage-object-detector,5,5,5,0
1775161872,orchestrator,1,1,1,0
1775161872,stage-deepspeech,2,2,2,0
1775161872,stage-ffmpeg-0,3,3,3,0
1775161872,stage-ffmpeg-1,1,1,1,0
1775161872,stage-ffmpeg-2,3,3,3,0
1775161872,stage-ffmpeg-3,5,5,5,0
1775161872,stage-librosa,5,5,5,0
1775161872,stage-object-detector,5,5,5,0
1775161879,orchestrator,1,1,1,0
1775161879,stage-deepspeech,2,2,2,0
1775161879,stage-ffmpeg-0,3,3,3,0
1775161879,stage-ffmpeg-1,1,1,1,0
1775161879,stage-ffmpeg-2,3,3,3,0
1775161879,stage-ffmpeg-3,5,5,5,0
1775161879,stage-librosa,5,5,5,0
1775161879,stage-object-detector,5,5,5,0
1775161887,orchestrator,1,1,1,0
1775161887,stage-deepspeech,2,2,2,0
1775161887,stage-ffmpeg-0,3,3,3,0
1775161887,stage-ffmpeg-1,1,1,1,0
1775161887,stage-ffmpeg-2,3,3,3,0
1775161887,stage-ffmpeg-3,5,5,5,0
1775161887,stage-librosa,5,5,5,0
1775161887,stage-object-detector,5,5,5,0
1775161895,orchestrator,1,1,1,0
1775161895,stage-deepspeech,2,2,2,0
1775161895,stage-ffmpeg-0,3,3,3,0
1775161895,stage-ffmpeg-1,1,1,1,0
1775161895,stage-ffmpeg-2,3,3,3,0
1775161895,stage-ffmpeg-3,5,5,5,0
1775161895,stage-librosa,5,5,5,0
1775161895,stage-object-detector,5,5,5,0
1775161903,orchestrator,1,1,1,0
1775161903,stage-deepspeech,2,2,2,0
1775161903,stage-ffmpeg-0,4,4,4,0
1775161903,stage-ffmpeg-1,2,2,2,0
1775161903,stage-ffmpeg-2,3,3,3,0
1775161903,stage-ffmpeg-3,5,5,5,0
1775161903,stage-librosa,5,5,5,0
1775161903,stage-object-detector,5,5,5,0
1775161911,orchestrator,1,1,1,0
1775161911,stage-deepspeech,2,2,2,0
1775161911,stage-ffmpeg-0,4,4,4,0
1775161911,stage-ffmpeg-1,2,2,2,0
1775161911,stage-ffmpeg-2,3,3,3,0
1775161911,stage-ffmpeg-3,5,5,5,0
1775161911,stage-librosa,5,5,5,1
1775161911,stage-object-detector,5,5,5,1
1775161919,orchestrator,1,1,1,0
1775161919,stage-deepspeech,2,2,2,0
1775161919,stage-ffmpeg-0,4,4,4,0
1775161919,stage-ffmpeg-1,2,2,2,0
1775161919,stage-ffmpeg-2,3,3,3,0
1775161919,stage-ffmpeg-3,5,5,5,0
1775161919,stage-librosa,5,5,5,0
1775161919,stage-object-detector,5,5,5,0
1775161927,orchestrator,1,1,1,0
1775161927,stage-deepspeech,2,2,2,0
1775161927,stage-ffmpeg-0,4,4,4,0
1775161927,stage-ffmpeg-1,2,2,2,0
1775161927,stage-ffmpeg-2,3,3,3,0
1775161927,stage-ffmpeg-3,5,5,5,1
1775161927,stage-librosa,5,5,5,1
1775161927,stage-object-detector,5,5,5,0
1775161935,orchestrator,1,1,1,0
1775161935,stage-deepspeech,2,2,2,0
1775161935,stage-ffmpeg-0,4,4,4,0
1775161935,stage-ffmpeg-1,2,2,2,0
1775161935,stage-ffmpeg-2,3,3,3,0
1775161935,stage-ffmpeg-3,5,5,5,0
1775161935,stage-librosa,5,5,5,0
1775161935,stage-object-detector,5,5,5,0
1775161943,orchestrator,1,1,1,0
1775161943,stage-deepspeech,2,2,2,0
1775161943,stage-ffmpeg-0,4,4,4,0
1775161943,stage-ffmpeg-1,2,2,2,0
1775161943,stage-ffmpeg-2,3,3,3,0
1775161943,stage-ffmpeg-3,5,5,5,0
1775161943,stage-librosa,5,5,5,1
1775161943,stage-object-detector,5,5,5,0
1775161951,orchestrator,1,1,1,0
1775161951,stage-deepspeech,2,2,2,0
1775161951,stage-ffmpeg-0,4,4,4,0
1775161951,stage-ffmpeg-1,2,2,2,0
1775161951,stage-ffmpeg-2,3,3,3,0
1775161951,stage-ffmpeg-3,5,5,5,0
1775161951,stage-librosa,5,5,5,0
1775161951,stage-object-detector,5,5,5,0
1775161959,orchestrator,1,1,1,0
1775161959,stage-deepspeech,2,2,2,0
1775161959,stage-ffmpeg-0,4,4,4,0
1775161959,stage-ffmpeg-1,2,2,2,0
1775161959,stage-ffmpeg-2,3,3,3,0
1775161959,stage-ffmpeg-3,5,5,5,0
1775161959,stage-librosa,5,5,5,0
1775161959,stage-object-detector,5,5,5,0
1775161967,orchestrator,1,1,1,0
1775161967,stage-deepspeech,2,2,2,0
1775161967,stage-ffmpeg-0,4,4,4,0
1775161967,stage-ffmpeg-1,2,2,2,0
1775161967,stage-ffmpeg-2,3,3,3,0
1775161967,stage-ffmpeg-3,5,5,5,0
1775161967,stage-librosa,5,5,5,0
1775161967,stage-object-detector,5,5,5,0
1775161975,orchestrator,1,1,1,0
1775161975,stage-deepspeech,2,2,2,0
1775161975,stage-ffmpeg-0,4,4,4,0
1775161975,stage-ffmpeg-1,2,2,2,0
1775161975,stage-ffmpeg-2,3,3,3,0
1775161975,stage-ffmpeg-3,5,5,5,0
1775161975,stage-librosa,5,5,5,0
1775161975,stage-object-detector,5,5,5,0
1775161983,orchestrator,1,1,1,0
1775161983,stage-deepspeech,2,2,2,0
1775161983,stage-ffmpeg-0,4,4,4,0
1775161983,stage-ffmpeg-1,2,2,2,0
1775161983,stage-ffmpeg-2,3,3,3,0
1775161983,stage-ffmpeg-3,5,5,5,0
1775161983,stage-librosa,5,5,5,0
1775161983,stage-object-detector,5,5,5,0
1775161991,orchestrator,1,1,1,0
1775161991,stage-deepspeech,2,2,2,0
1775161991,stage-ffmpeg-0,4,4,4,0
1775161991,stage-ffmpeg-1,2,2,2,0
1775161991,stage-ffmpeg-2,3,3,3,0
1775161991,stage-ffmpeg-3,5,5,5,0
1775161991,stage-librosa,5,5,5,0
1775161991,stage-object-detector,5,5,5,0
1775161999,orchestrator,1,1,1,0
1775161999,stage-deepspeech,2,2,2,0
1775161999,stage-ffmpeg-0,4,4,4,0
1775161999,stage-ffmpeg-1,2,2,2,0
1775161999,stage-ffmpeg-2,3,3,3,0
1775161999,stage-ffmpeg-3,5,5,5,0
1775161999,stage-librosa,5,5,5,0
1775161999,stage-object-detector,5,5,5,0
1775162007,orchestrator,1,1,1,0
1775162007,stage-deepspeech,2,2,2,0
1775162007,stage-ffmpeg-0,4,4,4,0
1775162007,stage-ffmpeg-1,2,2,2,0
1775162007,stage-ffmpeg-2,3,3,3,0
1775162007,stage-ffmpeg-3,5,5,5,0
1775162007,stage-librosa,5,5,5,0
1775162007,stage-object-detector,5,5,5,0
1775162015,orchestrator,1,1,1,0
1775162015,stage-deepspeech,2,2,2,0
1775162015,stage-ffmpeg-0,4,4,4,0
1775162015,stage-ffmpeg-1,2,2,2,0
1775162015,stage-ffmpeg-2,3,3,3,0
1775162015,stage-ffmpeg-3,5,5,5,0
1775162015,stage-librosa,5,5,5,0
1775162015,stage-object-detector,5,5,5,0
1775162023,orchestrator,1,1,1,0
1775162023,stage-deepspeech,2,2,2,0
1775162023,stage-ffmpeg-0,4,4,4,0
1775162023,stage-ffmpeg-1,2,2,2,0
1775162023,stage-ffmpeg-2,3,3,3,0
1775162023,stage-ffmpeg-3,5,5,5,0
1775162023,stage-librosa,5,5,5,0
1775162023,stage-object-detector,5,5,5,0
1775162031,orchestrator,1,1,1,0
1775162031,stage-deepspeech,2,2,2,0
1775162031,stage-ffmpeg-0,4,4,4,0
1775162031,stage-ffmpeg-1,2,2,2,0
1775162031,stage-ffmpeg-2,3,3,3,0
1775162031,stage-ffmpeg-3,5,5,5,0
1775162031,stage-librosa,5,5,5,0
1775162031,stage-object-detector,5,5,5,0
1775162039,orchestrator,1,1,1,0
1775162039,stage-deepspeech,2,2,2,0
1775162039,stage-ffmpeg-0,4,4,4,0
1775162039,stage-ffmpeg-1,2,2,2,0
1775162039,stage-ffmpeg-2,3,3,3,0
1775162039,stage-ffmpeg-3,5,5,5,0
1775162039,stage-librosa,5,5,5,0
1775162039,stage-object-detector,5,5,5,0
1775162047,orchestrator,1,1,1,0
1775162047,stage-deepspeech,2,2,2,0
1775162047,stage-ffmpeg-0,4,4,4,0
1775162047,stage-ffmpeg-1,2,2,2,0
1775162047,stage-ffmpeg-2,3,3,3,0
1775162047,stage-ffmpeg-3,5,5,5,1
1775162047,stage-librosa,5,5,5,1
1775162047,stage-object-detector,5,5,5,1
1775162055,orchestrator,1,1,1,0
1775162055,stage-deepspeech,2,2,2,0
1775162055,stage-ffmpeg-0,4,4,4,0
1775162055,stage-ffmpeg-1,2,2,2,0
1775162055,stage-ffmpeg-2,3,3,3,0
1775162055,stage-ffmpeg-3,5,5,5,0
1775162055,stage-librosa,5,5,5,0
1775162055,stage-object-detector,5,5,5,0
1775162063,orchestrator,1,1,1,0
1775162063,stage-deepspeech,2,2,2,0
1775162063,stage-ffmpeg-0,4,4,4,0
1775162063,stage-ffmpeg-1,2,2,2,0
1775162063,stage-ffmpeg-2,3,3,3,0
1775162063,stage-ffmpeg-3,5,5,5,1
1775162063,stage-librosa,5,5,5,0
1775162063,stage-object-detector,5,5,5,0
1775162071,orchestrator,1,1,1,0
1775162071,stage-deepspeech,2,2,2,0
1775162071,stage-ffmpeg-0,4,4,4,0
1775162071,stage-ffmpeg-1,2,2,2,0
1775162071,stage-ffmpeg-2,3,3,3,0
1775162071,stage-ffmpeg-3,5,5,5,0
1775162071,stage-librosa,5,5,5,0
1775162071,stage-object-detector,5,5,5,0
1775162079,orchestrator,1,1,1,0
1775162079,stage-deepspeech,2,2,2,0
1775162079,stage-ffmpeg-0,4,4,4,0
1775162079,stage-ffmpeg-1,2,2,2,0
1775162079,stage-ffmpeg-2,3,3,3,0
1775162079,stage-ffmpeg-3,5,5,5,0
1775162079,stage-librosa,5,5,5,0
1775162079,stage-object-detector,5,5,5,0
1775162087,orchestrator,1,1,1,0
1775162087,stage-deepspeech,2,2,2,0
1775162087,stage-ffmpeg-0,4,4,4,0
1775162087,stage-ffmpeg-1,2,2,2,0
1775162087,stage-ffmpeg-2,3,3,3,0
1775162087,stage-ffmpeg-3,5,5,5,0
1775162087,stage-librosa,5,5,5,0
1775162087,stage-object-detector,5,5,5,0
1775162095,orchestrator,1,1,1,0
1775162095,stage-deepspeech,2,2,2,0
1775162095,stage-ffmpeg-0,4,4,4,0
1775162095,stage-ffmpeg-1,2,2,2,0
1775162095,stage-ffmpeg-2,3,3,3,0
1775162095,stage-ffmpeg-3,5,5,5,0
1775162095,stage-librosa,5,5,5,0
1775162095,stage-object-detector,5,5,5,0
1775162103,orchestrator,1,1,1,0
1775162103,stage-deepspeech,2,2,2,0
1775162103,stage-ffmpeg-0,4,4,4,0
1775162103,stage-ffmpeg-1,2,2,2,0
1775162103,stage-ffmpeg-2,3,3,3,0
1775162103,stage-ffmpeg-3,5,5,5,0
1775162103,stage-librosa,5,5,5,0
1775162103,stage-object-detector,5,5,5,0
1775162111,orchestrator,1,1,1,0
1775162111,stage-deepspeech,2,2,2,0
1775162111,stage-ffmpeg-0,4,4,4,0
1775162111,stage-ffmpeg-1,2,2,2,0
1775162111,stage-ffmpeg-2,3,3,3,0
1775162111,stage-ffmpeg-3,5,5,5,0
1775162111,stage-librosa,5,5,5,0
1775162111,stage-object-detector,5,5,5,0
1775162119,orchestrator,1,1,1,0
1775162119,stage-deepspeech,2,2,2,0
1775162119,stage-ffmpeg-0,4,4,4,0
1775162119,stage-ffmpeg-1,2,2,2,0
1775162119,stage-ffmpeg-2,3,3,3,0
1775162119,stage-ffmpeg-3,5,5,5,0
1775162119,stage-librosa,5,5,5,0
1775162119,stage-object-detector,5,5,5,0
1775162127,orchestrator,1,1,1,0
1775162127,stage-deepspeech,2,2,2,0
1775162127,stage-ffmpeg-0,5,5,5,0
1775162127,stage-ffmpeg-1,2,2,2,0
1775162127,stage-ffmpeg-2,4,4,4,0
1775162127,stage-ffmpeg-3,5,5,5,0
1775162127,stage-librosa,5,5,5,0
1775162127,stage-object-detector,5,5,5,0
1775162134,orchestrator,1,1,1,0
1775162134,stage-deepspeech,2,2,2,0
1775162134,stage-ffmpeg-0,5,5,5,0
1775162134,stage-ffmpeg-1,2,2,2,0
1775162134,stage-ffmpeg-2,4,4,4,0
1775162134,stage-ffmpeg-3,5,5,5,0
1775162134,stage-librosa,5,5,5,0
1775162134,stage-object-detector,5,5,5,0
1775162142,orchestrator,1,1,1,0
