Regime,Count,Latency Mean (ms),Latency Median (ms),Latency StdDev,Cost Mean,Cost Median,Avg Cold Starts
Warm,10,16163.4,16732.5,10377.6,6.86,7.02,0.0
Cold,15,29335.3,27348.0,3368.6,13.00,12.24,1.4
Default,23,11668.5,11388.0,5515.1,5.18,5.34,2.4

Cold Start Penalty:
Latency Increase: 13171.9ms (81.5%)
Cost Increase: 6.15 units (89.6%)
